1/11/16 20:43
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	    22764	  179723	                   907978	                         1069986	   267	
Pendientes:       	    19888	  170483	                   858911	                         1014460	   250	
Únicos:           	    18710	  169037	                   853104	                         1007491	   267	
Pendientes únicos:	    17957	  163652	                   824620	                          974754	   250	


Estadísticas por archivo individual:

Nombre de archivo                            	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
Language/5to6-nutshell.pod                   	            822	                 759	             740	                        715	             7369	               7279	           7135	                      7074	                             36728	                               36342	                           35629	                                      35358	                                    43506	                                      43054	                                  42213	                                             41899	
Language/5to6-perlfunc.pod                   	           1013	                 856	             961	                        811	             7387	               6909	           7215	                      6741	                             35703	                               33012	                           35051	                                      32381	                                    41230	                                      38253	                                  40460	                                             37506	
Language/5to6-perlop.pod                     	            194	                 186	             172	                        170	             2229	               2212	           2121	                      2116	                             10751	                               10657	                           10241	                                      10208	                                    12555	                                      12452	                                  11978	                                             11942	
Language/5to6-perlsyn.pod                    	            111	                  99	              90	                         88	             1137	               1111	           1095	                      1089	                              5259	                                5122	                            5056	                                       5016	                                     6155	                                       6003	                                   5913	                                              5868	
Language/5to6-perlvar.pod                    	            289	                 228	             268	                        213	             2218	               2073	           2143	                      2010	                             11153	                               10048	                           10854	                                       9810	                                    12897	                                      11707	                                  12546	                                             11423	
Language/about.pod                           	             40	                  37	              37	                         37	              427	                421	            421	                       421	                              2298	                                2274	                            2274	                                       2274	                                     2611	                                       2584	                                   2584	                                              2584	
Language/classtut.pod                        	            380	                 262	             310	                        259	             3223	               2780	           3125	                      2775	                             17443	                               14821	                           16738	                                      14787	                                    20109	                                      17143	                                  19332	                                             17106	
Language/concurrency.pod                     	            396	                   0	             278	                          0	             3606	                  0	           3444	                         0	                             18617	                                   0	                           17601	                                          0	                                    21697	                                          0	                                  20526	                                                 0	
Language/containers.pod                      	            176	                 165	             158	                        156	             1584	               1573	           1542	                      1538	                              7208	                                7162	                            7081	                                       7065	                                     8815	                                       8762	                                   8648	                                              8630	
Language/contributors.pod                    	            891	                 889	             889	                        889	             1882	               1878	           1878	                      1878	                             10811	                               10795	                           10795	                                      10795	                                    11793	                                      11775	                                  11775	                                             11775	
Language/control.pod                         	            456	                 386	             371	                        361	             3956	               3853	           3815	                      3783	                             17859	                               17331	                           17196	                                      17031	                                    21993	                                      21407	                                  21222	                                             21036	
Language/exceptions.pod                      	            114	                  92	              82	                         81	              893	                880	            858	                       857	                              4529	                                4447	                            4308	                                       4304	                                     5253	                                       5162	                                   5019	                                              5014	
Language/faq.pod                             	            372	                 350	             342	                        337	             4025	               4009	           3973	                      3966	                             20109	                               20013	                           19901	                                      19862	                                    23580	                                      23479	                                  23338	                                             23297	
Language/functions.pod                       	            404	                 375	             353	                        352	             3502	               3483	           3398	                      3396	                             17936	                               17815	                           17383	                                      17367	                                    21297	                                      21164	                                  20664	                                             20647	
Language/glossary.pod                        	            493	                 477	             473	                        471	             3896	               3891	           3866	                      3865	                             19141	                               19106	                           18994	                                      18987	                                    22693	                                      22655	                                  22498	                                             22490	
Language/grammars.pod                        	             99	                  91	              85	                         85	             1089	               1077	           1061	                      1061	                              5608	                                5558	                            5478	                                       5478	                                     6573	                                       6517	                                   6429	                                              6429	
Language/io.pod                              	             95	                  86	              78	                         78	              836	                825	            804	                       804	                              4043	                                3983	                            3849	                                       3849	                                     4724	                                       4657	                                   4507	                                              4507	
Language/list.pod                            	            284	                 278	             278	                        277	             3399	               3391	           3388	                      3386	                             15809	                               15781	                           15775	                                      15770	                                    19250	                                      19218	                                  19208	                                             19202	
Language/modules-extra.pod                   	             17	                  15	              15	                         15	              274	                270	            270	                       270	                              1577	                                1561	                            1561	                                       1561	                                     1786	                                       1768	                                   1768	                                              1768	
Language/modules.pod                         	            333	                 279	             259	                        257	             2213	               2142	           2094	                      2093	                             11764	                               11415	                           11112	                                      11103	                                    13616	                                      13231	                                  12892	                                             12883	
Language/mop.pod                             	            104	                  99	              98	                         97	             1375	               1371	           1368	                      1368	                              6967	                                6948	                            6936	                                       6935	                                     8157	                                       8136	                                   8122	                                              8121	
